Gene1	Gene2	Pair type
ENY2	PARP10	ME-scPGI
EPHB4	FAM83A	ME-scPGI
EPHB4	ITGB8	ME-scPGI
ESRRA	FAM83A	ME-scPGI
EXOSC4	PCMTD2	ME-scPGI
EXOSC4	RHPN1	ME-scPGI
EXOSC4	RIDA	ME-scPGI
EXOSC4	RP9	ME-scPGI
EXOSC4	UTP23	ME-scPGI
EXOSC4	CYREN	ME-scPGI
EXOSC4	PARP10	ME-scPGI
FAM83A	FAM83H	ME-scPGI
FAM83A	FAM89B	ME-scPGI
FAM83A	FBXO2	ME-scPGI
FAM83A	FBXO32	ME-scPGI
FAM83A	GFER	ME-scPGI
FAM83A	GNA11	ME-scPGI
FAM83A	GPS1	ME-scPGI
FAM83A	HGS	ME-scPGI
FAM83A	HOMER3	ME-scPGI
FAM83A	HRAS	ME-scPGI
FAM83A	HSF1	ME-scPGI
FAM83A	INSIG2	ME-scPGI
FAM83A	IRAK1	ME-scPGI
FAM83A	ITGA2	ME-scPGI
FAM83A	ITGAV	ME-scPGI
FAM83A	JMJD8	ME-scPGI
FAM83A	MACC1	ME-scPGI
FAM83A	MARK2	ME-scPGI
FAM83A	MLST8	ME-scPGI
FAM83A	MPZL1	ME-scPGI
FAM83A	MUC16	ME-scPGI
FAM83A	NELFB	ME-scPGI
FAM83A	NPLOC4	ME-scPGI
FAM83A	PACSIN3	ME-scPGI
FAM83A	PKP3	ME-scPGI
FAM83A	PLEC	ME-scPGI
FAM83A	PTGS2	ME-scPGI
FAM83A	SHARPIN	ME-scPGI
FAM83A	SHC1	ME-scPGI
FAM83A	SIGMAR1	ME-scPGI
FAM83A	SMAD3	ME-scPGI
FAM83A	SMURF1	ME-scPGI
FAM83A	SNX27	ME-scPGI
FAM83A	SPRED2	ME-scPGI
FAM83A	STAP2	ME-scPGI
FAM83A	STK25	ME-scPGI
FAM83A	TLE2	ME-scPGI
FAM83A	TMEM33	ME-scPGI
FAM83A	TNFRSF12A	ME-scPGI
FAM83A	TNFRSF21	ME-scPGI
FAM83A	TP53I13	ME-scPGI
FAM83A	TRAF7	ME-scPGI
FAM83A	TRIO	ME-scPGI
FAM83A	TRIP10	ME-scPGI
FAM83A	TSPAN15	ME-scPGI
FAM83A	VSTM2L	ME-scPGI
FAM83A	YWHAG	ME-scPGI
FAM83A	SH3GL1	ME-scPGI
FAM83A	NCLN	ME-scPGI
FAM83A	C1orf56	ME-scPGI
FAM83H	GID8	ME-scPGI
FAM83H	HOMER3	ME-scPGI
FAM83H	NUDCD3	ME-scPGI
FAM83H	RHPN1	ME-scPGI
FAM83H	SHC1	ME-scPGI
FAM91A1	TRAPPC5	ME-scPGI
FAM91A1	VPS28	ME-scPGI
FBXO2	RHPN1	ME-scPGI
FBXO2	TRIM47	ME-scPGI
FBXO32	IGFBP3	ME-scPGI
FBXO32	TNNT1	ME-scPGI
FBXW11	GID8	ME-scPGI
FDX2	PAM16	ME-scPGI
FHL2	IGFBP3	ME-scPGI
FHL2	LDOC1	ME-scPGI
FHL2	MTA1	ME-scPGI
FHL2	RBBP8	ME-scPGI
FHL2	TAF6	ME-scPGI
FILIP1L	FLYWCH2	ME-scPGI
FILIP1L	IMMP1L	ME-scPGI
FILIP1L	MAP1B	ME-scPGI
FILIP1L	MRPS24	ME-scPGI
FILIP1L	MRPS28	ME-scPGI
FILIP1L	NUDCD3	ME-scPGI
FILIP1L	PFDN2	ME-scPGI
FILIP1L	PFDN6	ME-scPGI
FILIP1L	PNPLA4	ME-scPGI
FILIP1L	PRPF6	ME-scPGI
FILIP1L	QPRT	ME-scPGI
FILIP1L	SLC22A18	ME-scPGI
FILIP1L	WBP1	ME-scPGI
FILIP1L	HAUS4	ME-scPGI
FILIP1L	LYPLAL1	ME-scPGI
FILIP1L	BCL10	ME-scPGI
FILIP1L	AGGF1	ME-scPGI
FLAD1	SLC52A2	ME-scPGI
FLYWCH2	MRPS24	ME-scPGI
FOXK2	SLC2A4RG	ME-scPGI
FOXQ1	SLC2A4RG	ME-scPGI
FOXQ1	SMAD5	ME-scPGI
GAMT	TNNT1	ME-scPGI
GARS1	MRPS17	ME-scPGI
GGPS1	QPRT	ME-scPGI
GID8	NREP	ME-scPGI
GID8	PCMTD2	ME-scPGI
GID8	TP53INP1	ME-scPGI
GID8	TPD52L2	ME-scPGI
GID8	TRIM24	ME-scPGI
GID8	WWP1	ME-scPGI
HDAC2	NME2	ME-scPGI
HELZ2	PRPF6	ME-scPGI
HELZ2	SLC2A4RG	ME-scPGI
HILPDA	MIF	ME-scPGI
HOMER3	PACSIN3	ME-scPGI
HOMER3	PTTG1IP	ME-scPGI
HOMER3	SHC1	ME-scPGI
HOMER3	TLE1	ME-scPGI
HOMER3	TNFRSF21	ME-scPGI
HOMER3	SH3GL1	ME-scPGI
HTATIP2	NME2	ME-scPGI
HTATSF1	RPP21	ME-scPGI
IARS2	MRPS24	ME-scPGI
IGFBP3	MUC16	ME-scPGI
IGFBP3	PPP1R13L	ME-scPGI
IGFBP3	PTTG1IP	ME-scPGI
IGFBP3	TLE1	ME-scPGI
IGFBP3	TLE2	ME-scPGI
